source,source_type,type,weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Fishing,0,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1,Frey Inc,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Transaction,0,Ramos-Shelton,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,Alvarez PLC,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1,Frey Inc,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
