source	type	target	_articleid	_date_added	_last_edited_date	_last_edited_by
southseafood express corp	Event.Fishing.SustainableFishing	tuna shelf	Jones Group__0__0__Lomark Daily	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Applaud	oceanus guardians alliance	Jones Group__0__0__Lomark Daily	2035-06-07	2035-06-10	Harvey Janus
city of himark	Event.Applaud	southseafood express corp	Jones Group__0__0__Lomark Daily	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Fishing.SustainableFishing	cod table	Jones Group__0__0__Lomark Daily	2035-06-07	2035-06-10	Harvey Janus
city of south paackland	Event.Applaud	southseafood express corp	Jones Group__0__0__Lomark Daily	2035-06-07	2035-06-10	Harvey Janus
city of himark	Event.Applaud	southseafood express corp	Jones Group__0__0__The News Buoy	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Applaud	paackland fishermen's rights enforcement network	Jones Group__0__0__The News Buoy	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Fishing.SustainableFishing	tuna shelf	Jones Group__0__0__The News Buoy	2035-06-07	2035-06-10	Harvey Janus
city of south paackland	Event.Applaud	southseafood express corp	Jones Group__0__0__The News Buoy	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Fishing.SustainableFishing	cod table	Jones Group__0__0__The News Buoy	2035-06-07	2035-06-10	Harvey Janus
city of south paackland	Event.Applaud	southseafood express corp	Jones Group__0__0__Haacklee Herald	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Applaud	marine sentinels initiative	Jones Group__0__0__Haacklee Herald	2035-06-07	2035-06-10	Harvey Janus
city of himark	Event.Applaud	southseafood express corp	Jones Group__0__0__Haacklee Herald	2035-06-07	2035-06-10	Harvey Janus
southseafood express corp	Event.Fishing.SustainableFishing	cod table	Jones Group__0__0__Haacklee Herald	2035-06-07	2035-06-10	Harvey Janus
