source,source_type,type,_weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid,_journal
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy,The News Buoy
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Fishing,0.5,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Frey Inc,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy,The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Frey Inc,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy,The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy,The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily,Lomark Daily
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald,Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald,Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
